Date,MKS.L,SBRY.L,TSCO.L
8/24/2021,168.468277,272.0639954,218.4772797
8/25/2021,177.1038666,271.7275696,218.912384
8/26/2021,176.5610504,268.952301,220.1742706
8/27/2021,176.1169434,261.046875,221.7842255
8/31/2021,177.1532135,255.664444,222.0453033
9/1/2021,182.0878601,257.5146484,222.7850189
9/2/2021,180.4100647,255.7485657,223.3071747
9/3/2021,180.1633453,255.4962158,222.523941
9/6/2021,178.6829681,255.2439423,224.0033875
9/7/2021,184.6538696,253.3937683,224.8736267
9/8/2021,183.5682373,253.4778442,223.6552887
9/9/2021,182.137207,249.6933441,221.6101685
9/10/2021,184.703186,247.4226532,221.3926086
9/13/2021,185.9368591,244.4622955,222.9590759
9/14/2021,186.4303131,243.301712,222.6109924
9/15/2021,183.7162628,240.2741547,221.6537018
9/16/2021,179.8179016,237.1624298,223.7858276
9/17/2021,180.0152893,237.4988098,222.7414856
9/20/2021,179.3738098,241.2833099,221.4361267
9/21/2021,183.0747833,245.9929352,223.8293762
9/22/2021,185.7888184,248.852356,227.7019501
9/23/2021,185.8875122,248.852356,225.8744202
9/24/2021,184.703186,248.5159302,224.0904083
9/27/2021,190.2299805,245.4883575,224.4385071
9/28/2021,187.0224762,245.7406464,223.0896454
9/29/2021,188.0093994,244.3109589,223.2201538
9/30/2021,181.1009064,240.0218353,220.4353485
10/1/2021,179.225769,239.2649078,215.7794952
10/4/2021,181.4463654,247.3385468,218.9994354
10/5/2021,183.2721558,251.7958679,220.1742706
10/6/2021,177.1532135,244.4791565,233.2715912
10/7/2021,169.553894,246.8339386,237.7098694
10/8/2021,172.0212097,248.6000671,239.8420563
10/11/2021,170.4914703,247.0021515,235.2731781
10/12/2021,174.3898163,247.8431702,235.0556335
10/13/2021,180.2126923,247.9272308,234.4029388
10/14/2021,180.9528961,248.6841583,234.270813
10/15/2021,181.7917786,249.4410706,235.9441833
10/18/2021,179.3738098,247.8431702,237.353302
10/19/2021,181.2982941,249.6092377,241.5367432
10/20/2021,178.9296875,249.9456635,239.6872101
10/21/2021,178.2388306,249.1046448,238.4102173
10/22/2021,175.6234741,246.9180603,238.4542084
10/25/2021,179.7685699,248.852356,241.0523224
10/26/2021,183.4695435,253.4778442,241.2284698
10/27/2021,182.6800079,257.7669678,239.1587677
10/28/2021,182.0384979,251.9640656,237.4414063
10/29/2021,181.1996155,251.7958679,237.7055969
11/1/2021,186.1342468,247.8431702,239.5111237
11/2/2021,188.4041595,246.665741,239.5550995
11/3/2021,186.1835785,242.9653168,240.9202118
11/4/2021,190.0819702,236.9942169,242.7257233
11/5/2021,191.3649597,239.0967255,242.5055389
11/8/2021,187.8120117,243.2176666,242.0651398
11/9/2021,191.9077454,243.6381226,245.2798157
11/10/2021,223.5387421,246.9180603,250.9603882
11/11/2021,229.4602966,250.1490784,249.8594971
11/12/2021,233.901474,250.8292389,251.0044403
11/15/2021,233.2106323,250.5742035,251.7970734
11/16/2021,229.1642151,248.0234222,247.1733093
11/17/2021,224.7230377,244.8774109,244.7073212
11/18/2021,233.1119232,249.468811,246.0284271
11/19/2021,237.6517792,248.7886505,245.5880432
11/22/2021,242.290329,251.4244843,247.3935089
11/23/2021,244.066803,249.2988129,246.4246979
11/24/2021,240.1190948,250.8292389,247.041214
11/25/2021,242.3890381,251.1694031,246.9091339
11/26/2021,234.9870911,249.6389313,245.8522339
11/29/2021,237.5530853,246.3228455,245.7201385
11/30/2021,233.1119232,235.1843262,243.7385406
12/1/2021,237.5530853,238.2453156,244.9715118
12/2/2021,235.5792236,237.0549316,244.7073212
12/3/2021,237.9478607,236.5447693,246.6889343
12/6/2021,241.6981812,238.0752563,247.1733093
12/7/2021,245.0537262,236.9698944,250.3879547
12/8/2021,240.6125641,235.4393768,249.0228577
12/9/2021,239.1321716,234.2490387,249.2430115
12/10/2021,233.901474,233.9939575,250.4760284
12/13/2021,230.4472198,231.3581085,251.3126678
12/14/2021,225.8086853,234.0789795,250.7842865
12/15/2021,220.2818756,229.7426453,248.5384674
12/16/2021,220.183197,230.2527618,248.7145538
12/17/2021,221.6635895,230.5928955,250.4760284
12/20/2021,222.6505127,231.8683014,253.2943268
12/21/2021,226.0060577,231.2730865,254.0869293
12/22/2021,224.5256653,232.7185822,253.2502747
12/23/2021,226.5982208,232.7185822,253.954834
12/24/2021,227.1903687,233.7388611,253.5585022
12/29/2021,231.7302246,237.1399231,256.3327942
12/30/2021,230.1511383,235.8645477,256.5089111
